S_ID;status
1;stationary
2;stationary
3;stationary
4;stationary
5;stationary
6;stationary
7;stationary
8;stationary
9;stationary
10;stationary
11;stationary
12;stationary
13;stationary
14;stationary
15;stationary
16;stationary
17;stationary
18;stationary
19;stationary
20;stationary
21;stationary
22;stationary
23;stationary
24;stationary
25;stationary
26;stationary
27;stationary
28;stationary
29;stationary
30;stationary
31;stationary
32;stationary
33;stationary
34;stationary
35;stationary
36;stationary
37;stationary
38;stationary
39;stationary
40;stationary
41;stationary
42;stationary
43;stationary
44;stationary
45;stationary
46;stationary
47;stationary
48;stationary
49;stationary
50;stationary
51;non_stationary
52;non_stationary
53;non_stationary
54;non_stationary
55;non_stationary
56;non_stationary
57;non_stationary
58;non_stationary
59;non_stationary
60;non_stationary
61;non_stationary
62;non_stationary
63;non_stationary
64;non_stationary
65;non_stationary
66;non_stationary
67;non_stationary
68;non_stationary
69;non_stationary
70;non_stationary
71;non_stationary
72;non_stationary
73;non_stationary
74;non_stationary
75;non_stationary
76;non_stationary
77;non_stationary
78;non_stationary
79;non_stationary
80;non_stationary
81;non_stationary
82;non_stationary
83;non_stationary
84;non_stationary
85;non_stationary
86;non_stationary
87;non_stationary
88;non_stationary
89;non_stationary
90;non_stationary
91;non_stationary
92;non_stationary
93;non_stationary
94;non_stationary
95;non_stationary
96;non_stationary
97;non_stationary
98;non_stationary
99;non_stationary
100;non_stationary
